time,BSSID,latitude,longitude
1369335597,dc:7b:94:87:45:cf,43.7057591,-72.2892374
1369336197,dc:7b:94:87:31:bf,43.70575039999999,-72.2892059
1369336197,dc:7b:94:87:45:cf,43.70575039999999,-72.2892059
1369763870,dc:7b:94:87:17:bf,43.7057334,-72.28928509999999
1369763870,dc:7b:94:87:31:bf,43.7057334,-72.28928509999999
1369763870,dc:7b:94:87:45:cf,43.7057334,-72.28928509999999
1369764470,dc:7b:94:87:17:bf,43.7057824,-72.2893219
1369764470,dc:7b:94:87:45:c0,43.7057824,-72.2893219
1369765070,dc:7b:94:87:17:bf,43.7057567,-72.2893285
1369765070,dc:7b:94:87:45:c0,43.7057567,-72.2893285
1369765670,dc:7b:94:87:17:bf,43.7057647,-72.2892862
1369765670,dc:7b:94:87:45:c0,43.7057647,-72.2892862
1369766270,dc:7b:94:87:17:bf,43.705754999999996,-72.2893167
1369766270,dc:7b:94:87:31:bf,43.705754999999996,-72.2893167
1369766270,dc:7b:94:87:45:c0,43.705754999999996,-72.2893167
1369766870,dc:7b:94:87:17:bf,43.705797100000005,-72.2893331
1369766870,dc:7b:94:87:45:c0,43.705797100000005,-72.2893331
1369767470,dc:7b:94:87:17:bf,43.705769700000005,-72.2892805
1369767470,dc:7b:94:87:45:c0,43.705769700000005,-72.2892805
1369768070,dc:7b:94:87:17:bf,43.7057667,-72.28931309999999
1369768070,dc:7b:94:87:45:c0,43.7057667,-72.28931309999999
1369832270,dc:7b:94:87:17:bf,43.7057957,-72.2892594
1369832270,dc:7b:94:87:31:bf,43.7057957,-72.2892594
1369832270,dc:7b:94:87:45:c0,43.7057957,-72.2892594
1369832870,dc:7b:94:87:17:bf,43.705760600000005,-72.2893073
1369833470,dc:7b:94:87:17:bf,43.705783700000005,-72.28931379999999
1369833470,dc:7b:94:87:31:bf,43.705783700000005,-72.28931379999999
1369834070,dc:7b:94:87:17:bf,43.705778,-72.2892604
1369834070,dc:7b:94:87:31:bf,43.705778,-72.2892604
1369834070,dc:7b:94:87:45:c0,43.705778,-72.2892604
1369834670,dc:7b:94:87:17:bf,43.7057981,-72.2892803
1369834670,dc:7b:94:87:31:bf,43.7057981,-72.2892803
1369834670,dc:7b:94:87:45:c0,43.7057981,-72.2892803
1369835270,dc:7b:94:87:17:bf,43.7057555,-72.2892813
1369835270,dc:7b:94:87:31:bf,43.7057555,-72.2892813
1369835270,dc:7b:94:87:45:c0,43.7057555,-72.2892813
1369835870,dc:7b:94:87:45:c0,43.7057855,-72.2892264
1365529866,ac:a0:16:cb:50:25,43.7054205,-72.28915620000001
1365531066,ac:a0:16:cb:50:25,43.7054156,-72.28913829999999
1365641466,ac:a0:16:cb:50:25,43.7054612,-72.2891982
1365642666,ac:a0:16:cb:50:25,43.7054971,-72.2891503
1365645066,04:c5:a4:c3:df:15,43.7054947,-72.2891271
1365645066,ac:a0:16:cb:50:25,43.7054947,-72.2891271
1366731671,04:c5:a4:c3:df:15,43.70595713,-72.28960707
1369492723,04:c5:a4:c3:df:15,43.70595187,-72.28946785
1368246229,ac:a0:16:ca:5b:aa,43.7051856,-72.2892295
1368246229,dc:7b:94:87:32:ba,43.7051856,-72.2892295
1368300229,dc:7b:94:87:1e:45,43.7052396,-72.2891623
1368301429,dc:7b:94:87:1e:45,43.7052458,-72.2892223
1368301429,dc:7b:94:87:32:ba,43.7052458,-72.2892223
1368305029,dc:7b:94:87:1e:45,43.7052137,-72.28919920000001
1368305029,dc:7b:94:87:32:ba,43.7052137,-72.28919920000001
1368306229,dc:7b:94:87:32:ba,43.7052194,-72.28922800000001
1368309829,04:c5:a4:c3:d3:d5,43.7052591,-72.28925290000001
1368309829,dc:7b:94:87:1e:45,43.7052591,-72.28925290000001
1368311029,dc:7b:94:87:1e:45,43.7052591,-72.28919029999999
1368311029,dc:7b:94:87:32:ba,43.7052591,-72.28919029999999
1368312229,04:c5:a4:c3:d3:d5,43.7052732,-72.2892251
1368312229,dc:7b:94:87:1e:45,43.7052732,-72.2892251
1368313429,dc:7b:94:87:1e:45,43.705251000000004,-72.2891547
1368314629,04:c5:a4:c3:d3:d5,43.7052659,-72.2892502
1368314629,dc:7b:94:87:1e:45,43.7052659,-72.2892502
1368315829,04:c5:a4:c3:d3:d5,43.705307,-72.2891862
1368315829,dc:7b:94:87:1e:45,43.705307,-72.2891862
1368317029,04:c5:a4:c3:d3:d5,43.7052816,-72.2892954
1368317029,dc:7b:94:87:1e:45,43.7052816,-72.2892954
1368320629,04:c5:a4:c3:d3:d5,43.705286799999996,-72.28930820000001
1368320629,dc:7b:94:87:1e:45,43.705286799999996,-72.28930820000001
1368320629,dc:7b:94:87:32:ba,43.705286799999996,-72.28930820000001
1368321829,dc:7b:94:87:1e:45,43.705317799999996,-72.2891181
1368321829,dc:7b:94:87:32:ba,43.705317799999996,-72.2891181
1368323029,04:c5:a4:c3:d3:d5,43.7052609,-72.289242
1368323029,dc:7b:94:87:1e:45,43.7052609,-72.289242
1368818871,ac:a0:16:ca:5b:aa,43.7051565,-72.2892343
1368820071,04:c5:a4:c3:d3:d5,43.705161499999996,-72.28923540000001
1368820071,dc:7b:94:87:32:ba,43.705161499999996,-72.28923540000001
1368821271,04:c5:a4:c3:d3:d5,43.70515379999999,-72.2892145
1368821271,ac:a0:16:ca:5b:aa,43.70515379999999,-72.2892145
1368821271,dc:7b:94:87:32:ba,43.70515379999999,-72.2892145
1368839271,ac:a0:16:ca:5b:aa,43.70517279999999,-72.2892063
1368839271,dc:7b:94:87:32:ba,43.70517279999999,-72.2892063
1368840471,dc:7b:94:87:32:ba,43.705208500000005,-72.28921170000001
